,week_ending,unit_desc,watershed_desc,Value,agg_level_desc,asd_desc,commodity_desc,asd_code,county_name,location_desc,domain_desc,state_fips_code,county_ansi,end_code,watershed_code,congr_district_code,prodn_practice_desc,statisticcat_desc,state_name,begin_code,country_code,reference_period_desc,sector_desc,year,state_ansi,country_name,source_desc,class_desc,CV (%),short_desc,region_desc,load_time,zip_5,freq_desc,group_desc,county_code,util_practice_desc,state_alpha,domaincat_desc
1,,PRODUCERS,,"38,013",STATE,,"PRODUCERS, PRINCIPAL",,,ALABAMA,TOTAL,1,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,ALABAMA,0,9000,YEAR,DEMOGRAPHICS,2017,1,UNITED STATES,CENSUS,ALL CLASSES,4.1,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,AL,NOT SPECIFIED
2,,PRODUCERS,,780,STATE,,"PRODUCERS, PRINCIPAL",,,ALASKA,TOTAL,2,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,ALASKA,0,9000,YEAR,DEMOGRAPHICS,2017,2,UNITED STATES,CENSUS,ALL CLASSES,1.1,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,AK,NOT SPECIFIED
3,,PRODUCERS,,"20,154",STATE,,"PRODUCERS, PRINCIPAL",,,ARIZONA,TOTAL,4,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,ARIZONA,0,9000,YEAR,DEMOGRAPHICS,2017,4,UNITED STATES,CENSUS,ALL CLASSES,27.5,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,AZ,NOT SPECIFIED
4,,PRODUCERS,,"42,513",STATE,,"PRODUCERS, PRINCIPAL",,,ARKANSAS,TOTAL,5,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,ARKANSAS,0,9000,YEAR,DEMOGRAPHICS,2017,5,UNITED STATES,CENSUS,ALL CLASSES,4.7,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,AR,NOT SPECIFIED
5,,PRODUCERS,,"73,352",STATE,,"PRODUCERS, PRINCIPAL",,,CALIFORNIA,TOTAL,6,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,CALIFORNIA,0,9000,YEAR,DEMOGRAPHICS,2017,6,UNITED STATES,CENSUS,ALL CLASSES,3.9,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,CA,NOT SPECIFIED
6,,PRODUCERS,,"39,850",STATE,,"PRODUCERS, PRINCIPAL",,,COLORADO,TOTAL,8,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,COLORADO,0,9000,YEAR,DEMOGRAPHICS,2017,8,UNITED STATES,CENSUS,ALL CLASSES,7.5,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,CO,NOT SPECIFIED
7,,PRODUCERS,,"5,460",STATE,,"PRODUCERS, PRINCIPAL",,,CONNECTICUT,TOTAL,9,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,CONNECTICUT,0,9000,YEAR,DEMOGRAPHICS,2017,9,UNITED STATES,CENSUS,ALL CLASSES,10,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,CT,NOT SPECIFIED
8,,PRODUCERS,,"2,561",STATE,,"PRODUCERS, PRINCIPAL",,,DELAWARE,TOTAL,10,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,DELAWARE,0,9000,YEAR,DEMOGRAPHICS,2017,10,UNITED STATES,CENSUS,ALL CLASSES,9.2,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,DE,NOT SPECIFIED
9,,PRODUCERS,,"45,352",STATE,,"PRODUCERS, PRINCIPAL",,,FLORIDA,TOTAL,12,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,FLORIDA,0,9000,YEAR,DEMOGRAPHICS,2017,12,UNITED STATES,CENSUS,ALL CLASSES,4.2,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,FL,NOT SPECIFIED
10,,PRODUCERS,,"37,940",STATE,,"PRODUCERS, PRINCIPAL",,,GEORGIA,TOTAL,13,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,GEORGIA,0,9000,YEAR,DEMOGRAPHICS,2017,13,UNITED STATES,CENSUS,ALL CLASSES,3.9,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,GA,NOT SPECIFIED
11,,PRODUCERS,,"6,937",STATE,,"PRODUCERS, PRINCIPAL",,,HAWAII,TOTAL,15,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,HAWAII,0,9000,YEAR,DEMOGRAPHICS,2017,15,UNITED STATES,CENSUS,ALL CLASSES,9.3,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,HI,NOT SPECIFIED
12,,PRODUCERS,,"25,385",STATE,,"PRODUCERS, PRINCIPAL",,,IDAHO,TOTAL,16,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,IDAHO,0,9000,YEAR,DEMOGRAPHICS,2017,16,UNITED STATES,CENSUS,ALL CLASSES,4.6,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,ID,NOT SPECIFIED
13,,PRODUCERS,,"74,134",STATE,,"PRODUCERS, PRINCIPAL",,,ILLINOIS,TOTAL,17,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,ILLINOIS,0,9000,YEAR,DEMOGRAPHICS,2017,17,UNITED STATES,CENSUS,ALL CLASSES,2.8,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,IL,NOT SPECIFIED
14,,PRODUCERS,,"58,124",STATE,,"PRODUCERS, PRINCIPAL",,,INDIANA,TOTAL,18,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,INDIANA,0,9000,YEAR,DEMOGRAPHICS,2017,18,UNITED STATES,CENSUS,ALL CLASSES,3.3,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,IN,NOT SPECIFIED
15,,PRODUCERS,,"92,930",STATE,,"PRODUCERS, PRINCIPAL",,,IOWA,TOTAL,19,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,IOWA,0,9000,YEAR,DEMOGRAPHICS,2017,19,UNITED STATES,CENSUS,ALL CLASSES,2,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,IA,NOT SPECIFIED
16,,PRODUCERS,,"59,771",STATE,,"PRODUCERS, PRINCIPAL",,,KANSAS,TOTAL,20,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,KANSAS,0,9000,YEAR,DEMOGRAPHICS,2017,20,UNITED STATES,CENSUS,ALL CLASSES,2.8,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,KS,NOT SPECIFIED
17,,PRODUCERS,,"74,180",STATE,,"PRODUCERS, PRINCIPAL",,,KENTUCKY,TOTAL,21,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,KENTUCKY,0,9000,YEAR,DEMOGRAPHICS,2017,21,UNITED STATES,CENSUS,ALL CLASSES,4,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,KY,NOT SPECIFIED
18,,PRODUCERS,,"25,802",STATE,,"PRODUCERS, PRINCIPAL",,,LOUISIANA,TOTAL,22,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,LOUISIANA,0,9000,YEAR,DEMOGRAPHICS,2017,22,UNITED STATES,CENSUS,ALL CLASSES,4,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,LA,NOT SPECIFIED
19,,PRODUCERS,,"7,436",STATE,,"PRODUCERS, PRINCIPAL",,,MAINE,TOTAL,23,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,MAINE,0,9000,YEAR,DEMOGRAPHICS,2017,23,UNITED STATES,CENSUS,ALL CLASSES,5,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,ME,NOT SPECIFIED
20,,PRODUCERS,,"12,822",STATE,,"PRODUCERS, PRINCIPAL",,,MARYLAND,TOTAL,24,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,MARYLAND,0,9000,YEAR,DEMOGRAPHICS,2017,24,UNITED STATES,CENSUS,ALL CLASSES,6.7,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,MD,NOT SPECIFIED
21,,PRODUCERS,,"7,618",STATE,,"PRODUCERS, PRINCIPAL",,,MASSACHUSETTS,TOTAL,25,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,MASSACHUSETTS,0,9000,YEAR,DEMOGRAPHICS,2017,25,UNITED STATES,CENSUS,ALL CLASSES,8.9,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,MA,NOT SPECIFIED
22,,PRODUCERS,,"48,910",STATE,,"PRODUCERS, PRINCIPAL",,,MICHIGAN,TOTAL,26,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,MICHIGAN,0,9000,YEAR,DEMOGRAPHICS,2017,26,UNITED STATES,CENSUS,ALL CLASSES,5.3,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,MI,NOT SPECIFIED
23,,PRODUCERS,,"72,473",STATE,,"PRODUCERS, PRINCIPAL",,,MINNESOTA,TOTAL,27,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,MINNESOTA,0,9000,YEAR,DEMOGRAPHICS,2017,27,UNITED STATES,CENSUS,ALL CLASSES,1.4,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,MN,NOT SPECIFIED
24,,PRODUCERS,,"33,585",STATE,,"PRODUCERS, PRINCIPAL",,,MISSISSIPPI,TOTAL,28,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,MISSISSIPPI,0,9000,YEAR,DEMOGRAPHICS,2017,28,UNITED STATES,CENSUS,ALL CLASSES,6.5,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,MS,NOT SPECIFIED
25,,PRODUCERS,,"98,326",STATE,,"PRODUCERS, PRINCIPAL",,,MISSOURI,TOTAL,29,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,MISSOURI,0,9000,YEAR,DEMOGRAPHICS,2017,29,UNITED STATES,CENSUS,ALL CLASSES,3.2,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,MO,NOT SPECIFIED
26,,PRODUCERS,,"29,740",STATE,,"PRODUCERS, PRINCIPAL",,,MONTANA,TOTAL,30,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,MONTANA,0,9000,YEAR,DEMOGRAPHICS,2017,30,UNITED STATES,CENSUS,ALL CLASSES,4.7,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,MT,NOT SPECIFIED
27,,PRODUCERS,,"48,716",STATE,,"PRODUCERS, PRINCIPAL",,,NEBRASKA,TOTAL,31,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,NEBRASKA,0,9000,YEAR,DEMOGRAPHICS,2017,31,UNITED STATES,CENSUS,ALL CLASSES,3.7,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,NE,NOT SPECIFIED
28,,PRODUCERS,,"3,541",STATE,,"PRODUCERS, PRINCIPAL",,,NEVADA,TOTAL,32,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,NEVADA,0,9000,YEAR,DEMOGRAPHICS,2017,32,UNITED STATES,CENSUS,ALL CLASSES,7.5,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,NV,NOT SPECIFIED
29,,PRODUCERS,,"4,195",STATE,,"PRODUCERS, PRINCIPAL",,,NEW HAMPSHIRE,TOTAL,33,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,NEW HAMPSHIRE,0,9000,YEAR,DEMOGRAPHICS,2017,33,UNITED STATES,CENSUS,ALL CLASSES,10.5,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,NH,NOT SPECIFIED
30,,PRODUCERS,,"10,484",STATE,,"PRODUCERS, PRINCIPAL",,,NEW JERSEY,TOTAL,34,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,NEW JERSEY,0,9000,YEAR,DEMOGRAPHICS,2017,34,UNITED STATES,CENSUS,ALL CLASSES,9.2,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,NJ,NOT SPECIFIED
31,,PRODUCERS,,"25,487",STATE,,"PRODUCERS, PRINCIPAL",,,NEW MEXICO,TOTAL,35,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,NEW MEXICO,0,9000,YEAR,DEMOGRAPHICS,2017,35,UNITED STATES,CENSUS,ALL CLASSES,9.6,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,NM,NOT SPECIFIED
32,,PRODUCERS,,"34,807",STATE,,"PRODUCERS, PRINCIPAL",,,NEW YORK,TOTAL,36,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,NEW YORK,0,9000,YEAR,DEMOGRAPHICS,2017,36,UNITED STATES,CENSUS,ALL CLASSES,5.4,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,NY,NOT SPECIFIED
33,,PRODUCERS,,"45,094",STATE,,"PRODUCERS, PRINCIPAL",,,NORTH CAROLINA,TOTAL,37,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,NORTH CAROLINA,0,9000,YEAR,DEMOGRAPHICS,2017,37,UNITED STATES,CENSUS,ALL CLASSES,4.1,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,NC,NOT SPECIFIED
34,,PRODUCERS,,"27,953",STATE,,"PRODUCERS, PRINCIPAL",,,NORTH DAKOTA,TOTAL,38,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,NORTH DAKOTA,0,9000,YEAR,DEMOGRAPHICS,2017,38,UNITED STATES,CENSUS,ALL CLASSES,3.4,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,ND,NOT SPECIFIED
35,,PRODUCERS,,"78,373",STATE,,"PRODUCERS, PRINCIPAL",,,OHIO,TOTAL,39,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,OHIO,0,9000,YEAR,DEMOGRAPHICS,2017,39,UNITED STATES,CENSUS,ALL CLASSES,3.4,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,OH,NOT SPECIFIED
36,,PRODUCERS,,"76,598",STATE,,"PRODUCERS, PRINCIPAL",,,OKLAHOMA,TOTAL,40,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,OKLAHOMA,0,9000,YEAR,DEMOGRAPHICS,2017,40,UNITED STATES,CENSUS,ALL CLASSES,3.5,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,OK,NOT SPECIFIED
37,,PRODUCERS,,"40,212",STATE,,"PRODUCERS, PRINCIPAL",,,OREGON,TOTAL,41,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,OREGON,0,9000,YEAR,DEMOGRAPHICS,2017,41,UNITED STATES,CENSUS,ALL CLASSES,6.9,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,OR,NOT SPECIFIED
38,,PRODUCERS,,"54,741",STATE,,"PRODUCERS, PRINCIPAL",,,PENNSYLVANIA,TOTAL,42,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,PENNSYLVANIA,0,9000,YEAR,DEMOGRAPHICS,2017,42,UNITED STATES,CENSUS,ALL CLASSES,3,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,PA,NOT SPECIFIED
39,,PRODUCERS,,"1,042",STATE,,"PRODUCERS, PRINCIPAL",,,RHODE ISLAND,TOTAL,44,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,RHODE ISLAND,0,9000,YEAR,DEMOGRAPHICS,2017,44,UNITED STATES,CENSUS,ALL CLASSES,17.3,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,RI,NOT SPECIFIED
40,,PRODUCERS,,"23,568",STATE,,"PRODUCERS, PRINCIPAL",,,SOUTH CAROLINA,TOTAL,45,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,SOUTH CAROLINA,0,9000,YEAR,DEMOGRAPHICS,2017,45,UNITED STATES,CENSUS,ALL CLASSES,7.5,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,SC,NOT SPECIFIED
41,,PRODUCERS,,"31,826",STATE,,"PRODUCERS, PRINCIPAL",,,SOUTH DAKOTA,TOTAL,46,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,SOUTH DAKOTA,0,9000,YEAR,DEMOGRAPHICS,2017,46,UNITED STATES,CENSUS,ALL CLASSES,4.4,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,SD,NOT SPECIFIED
42,,PRODUCERS,,"69,281",STATE,,"PRODUCERS, PRINCIPAL",,,TENNESSEE,TOTAL,47,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,TENNESSEE,0,9000,YEAR,DEMOGRAPHICS,2017,47,UNITED STATES,CENSUS,ALL CLASSES,3.3,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,TN,NOT SPECIFIED
43,,PRODUCERS,,"243,254",STATE,,"PRODUCERS, PRINCIPAL",,,TEXAS,TOTAL,48,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,TEXAS,0,9000,YEAR,DEMOGRAPHICS,2017,48,UNITED STATES,CENSUS,ALL CLASSES,3.1,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,TX,NOT SPECIFIED
44,,PRODUCERS,,"18,622",STATE,,"PRODUCERS, PRINCIPAL",,,UTAH,TOTAL,49,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,UTAH,0,9000,YEAR,DEMOGRAPHICS,2017,49,UNITED STATES,CENSUS,ALL CLASSES,22.3,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,UT,NOT SPECIFIED
45,,PRODUCERS,,"7,083",STATE,,"PRODUCERS, PRINCIPAL",,,VERMONT,TOTAL,50,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,VERMONT,0,9000,YEAR,DEMOGRAPHICS,2017,50,UNITED STATES,CENSUS,ALL CLASSES,8.6,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,VT,NOT SPECIFIED
46,,PRODUCERS,,"43,183",STATE,,"PRODUCERS, PRINCIPAL",,,VIRGINIA,TOTAL,51,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,VIRGINIA,0,9000,YEAR,DEMOGRAPHICS,2017,51,UNITED STATES,CENSUS,ALL CLASSES,2.5,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,VA,NOT SPECIFIED
47,,PRODUCERS,,"37,991",STATE,,"PRODUCERS, PRINCIPAL",,,WASHINGTON,TOTAL,53,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,WASHINGTON,0,9000,YEAR,DEMOGRAPHICS,2017,53,UNITED STATES,CENSUS,ALL CLASSES,5.6,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,WA,NOT SPECIFIED
48,,PRODUCERS,,"21,865",STATE,,"PRODUCERS, PRINCIPAL",,,WEST VIRGINIA,TOTAL,54,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,WEST VIRGINIA,0,9000,YEAR,DEMOGRAPHICS,2017,54,UNITED STATES,CENSUS,ALL CLASSES,5.7,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,WV,NOT SPECIFIED
49,,PRODUCERS,,"70,841",STATE,,"PRODUCERS, PRINCIPAL",,,WISCONSIN,TOTAL,55,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,WISCONSIN,0,9000,YEAR,DEMOGRAPHICS,2017,55,UNITED STATES,CENSUS,ALL CLASSES,2.7,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,WI,NOT SPECIFIED
50,,PRODUCERS,,"12,608",STATE,,"PRODUCERS, PRINCIPAL",,,WYOMING,TOTAL,56,,0,0,,"YEARS ON ANY OPERATION, GE 11 YEARS",PRODUCERS,WYOMING,0,9000,YEAR,DEMOGRAPHICS,2017,56,UNITED STATES,CENSUS,ALL CLASSES,8.1,"PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, GE 11 YEARS - NUMBER OF PRODUCERS",,00:00.0,,ANNUAL,PRODUCERS,,ALL UTILIZATION PRACTICES,WY,NOT SPECIFIED